"","external_gene_name","entrezgene_id"
"1","TGM1",7051
"2","LGALS7",3963
"3","LGALS7",653499
"4","DEFB4A",1673
"5","DEFB4A",100289462
"6","DEFB4A",124906748
"7","GJB2",2706
"8","KRT31",3881
"9","DSG1",1828
"10","SERPINB13",5275
"11","SERPINB4",6318
"12","SERPINB3",6317
"13","H2AZ1",3015
"14","DCD",117159
"15","LRRC75A",388341
"16","DSC2",1824
"17","HSPA1A",3303
"18","LY6G6C",80740
"19","HSPA1B",3304
"20","MT1X",4501
"21","TUBB",203068
"22","PTTG1",9232
"23","RPS3",6188
"24","HMGB2",3148
"25","LGALS3",3958
"26","PI3",5266
"27","ALOX12B",242
"28","FLG",2312
"29","H3-3B",3021
"30","TMEM45A",55076
"31","TUBA1B",10376
"32","CNFN",84518
"33","RPS4X",6191
"34","EREG",2069
"35","APOE",348
"36","STMN1",3925
"37","SPINK5",11005
"38","LARP1B",55132
"39","HSPA6",3310
"40","KRT16",3868
"41","UBB",7314
"42","KLK7",5650
"43","GJA1",2697
"44","WWOX",51741
"45","DSP",1832
"46","SYPL1",6856
"47","HOPX",84525
"48","CSTA",1475
"49","KRT6B",3854
"50","KRT6A",3853
"51","SBSN",374897
"52","NEAT1",283131
"53","SPRR1B",6699
"54","SPRR2D",6703
"55","SPRR2A",6700
"56","SPRR2B",6701
"57","SPRR2E",6704
"58","SPRR2F",6705
"59","LGALSL",29094
"60","IL36G",56300
"61","IL36RN",26525
"62","TCN1",6947
"63","MALAT1",NA
"64","ATP1B1",481
"65","S100A8",6279
"66","S100A7",6278
